number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,kpca_1,kpca_2
0.625,0.6250222776688649,0.7207207207207208,0.6411149825783973,0.2736842105263158,0.7206349206349206,0.7733990147783252,0.4329501915708812,0.5877192982456141,0.3746268656716418,0.8283261802575107,0.191,0.8782608695652174,0.6403940886699508,0.7726377729141057,-0.1453825023947019
0.625,0.6250222776688649,0.6756756756756758,0.6613240418118467,0.3157894736842105,0.6793650793650794,0.7339901477832512,0.4252873563218391,0.5701754385964912,0.4074626865671641,0.8884120171673818,0.243,0.7547826086956523,0.6403940886699508,0.8040305061676549,-0.05299771052039148
0.625,0.6250222776688649,0.7147147147147148,0.6439024390243901,0.2070175438596491,0.7047619047619048,0.7610837438423645,0.4367816091954022,0.5678728070175438,0.3477611940298507,0.8884120171673818,0.243,0.7547826086956523,0.6403940886699508,0.807943326308274,-0.08026143487004048
0.75,0.7499554446622705,0.780780780780781,0.7581881533101045,0.343859649122807,0.8317460317460318,0.8596059113300493,0.2873563218390804,0.7302631578947368,0.3597014925373134,0.7939914163090129,0.099,0.52,0.7586206896551725,0.4356515396108695,-0.21308641667088377
0.75,0.7499554446622705,0.7657657657657659,0.7651567944250871,0.2456140350877192,0.8063492063492064,0.8374384236453202,0.2950191570881225,0.7216008771929825,0.3910447761194029,0.8283261802575107,0.1125,0.8695652173913044,0.7586206896551725,0.3899050096051587,-0.43980332182841
0.75,0.7499554446622705,0.7987987987987987,0.7484320557491289,0.2421052631578947,0.8126984126984127,0.8472906403940886,0.3295019157088123,0.6996271929824561,0.3577376276512175,0.8454935622317596,0.13,0.8695652173913044,0.7586206896551725,0.4088549229373156,-0.4486605696335381
0.75,0.7499554446622705,0.7507507507507509,0.7735191637630663,0.2210526315789473,0.7714285714285715,0.812807881773399,0.3409961685823754,0.6952412280701754,0.3577376276512175,0.9012875536480688,0.148,0.831304347826087,0.7586206896551725,0.4582055902695875,-0.42999709942525005
0.75,0.7499554446622705,0.8078078078078077,0.7442508710801393,0.1859649122807017,0.7936507936507936,0.8497536945812808,0.4022988505747126,0.7020394736842105,0.3577376276512175,0.9184549356223176,0.191,0.831304347826087,0.7586206896551725,0.47293658221075,-0.43177335088493907
0.75,0.7499554446622705,0.8108108108108106,0.7421602787456447,0.1859649122807017,0.8063492063492064,0.8522167487684729,0.371647509578544,0.6710526315789473,0.3577376276512175,0.8798283261802574,0.161,0.831304347826087,0.7586206896551725,0.4551747088268215,-0.4335778710520188
0.75,0.7499554446622705,0.7477477477477479,0.7742160278745646,0.2421052631578947,0.7777777777777778,0.8103448275862069,0.3026819923371647,0.7040131578947367,0.3577376276512175,0.8583690987124464,0.134,0.831304347826087,0.7586206896551725,0.43252036258568133,-0.42818385147709154
0.75,0.7499554446622705,0.8258258258258256,0.7358885017421604,0.2421052631578947,0.8158730158730159,0.8596059113300493,0.3486590038314177,0.6952412280701754,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725,0.42178653968714114,-0.444192283747855
0.75,0.7499554446622705,0.7987987987987987,0.7484320557491289,0.5719298245614035,0.7777777777777778,0.8374384236453202,0.3908045977011494,0.6467105263157894,0.3577376276512175,0.9356223175965666,0.199,0.6921739130434783,0.7586206896551725,0.4752089223077045,-0.17340350832435714
0.875,0.8749777223311352,0.8258258258258256,0.8752613240418119,0.4596491228070175,0.9206349206349206,0.9285714285714286,0.1954022988505747,0.8618421052631579,1.0,0.8068669527896996,0.076,0.4886956521739131,0.8793103448275864,0.254938404113467,0.2718701764796687
0.875,0.8749777223311352,0.8168168168168166,0.8808362369337979,0.2350877192982456,0.8603174603174604,0.8891625615763546,0.2337164750957854,0.8068640350877193,0.3577376276512175,0.9055793991416308,0.101,0.8469565217391305,0.8793103448275864,-0.05635239433716662,-0.3365417782117091
0.875,0.8749777223311352,0.8648648648648648,0.853658536585366,0.2926553672316384,0.8888888888888888,0.9236453201970444,0.2720306513409962,0.7938377192982456,0.3577376276512175,0.8884120171673818,0.112,0.9043478260869566,0.8793103448275864,-0.06723597678870356,-0.3391097733310201
0.875,0.8749777223311352,0.8258258258258256,0.8752613240418119,0.2926553672316384,0.8666666666666667,0.896551724137931,0.2068965517241378,0.8048464912280702,0.3577376276512175,0.8755364806866953,0.107,0.9043478260869566,0.8793103448275864,-0.09296248897965165,-0.3120484720126622
0.875,0.8749777223311352,0.8108108108108106,0.883623693379791,0.3403508771929824,0.8666666666666667,0.8891625615763546,0.210727969348659,0.8311622807017544,0.4522388059701492,0.8583690987124464,0.093,0.9043478260869566,0.8793103448275864,-0.0712146668234541,-0.278953034413187
0.875,0.8749777223311352,0.8558558558558558,0.8599303135888501,0.2175438596491228,0.8761904761904762,0.8866995073891626,0.1302681992337164,0.769780701754386,0.3577376276512175,0.927038626609442,0.127,0.8469565217391305,0.8793103448275864,-0.1304969461935833,-0.2617305264276204
0.875,0.8749777223311352,0.8888888888888888,0.8425087108013937,0.2926553672316384,0.8920634920634921,0.9359605911330048,0.3065134099616858,0.7740350877192982,0.3577376276512175,0.9012875536480688,0.1255,0.9043478260869566,0.8793103448275864,-0.04553827166147491,-0.3459122016221741
0.875,0.8749777223311352,0.8648648648648648,0.8543554006968642,0.2926553672316384,0.8952380952380953,0.9261083743842364,0.2567049808429118,0.8048464912280702,0.3577376276512175,0.8712446351931329,0.1215,0.8469565217391305,0.8793103448275864,-0.06748313677644868,-0.330291838103806
0.875,0.8749777223311352,0.8828828828828827,0.8452961672473868,0.256140350877193,0.8888888888888888,0.9285714285714286,0.3065134099616858,0.769780701754386,0.3577376276512175,0.9012875536480688,0.153,0.9043478260869566,0.8793103448275864,-0.03491184306005674,-0.3576562494801904
0.875,0.8749777223311352,0.9069069069069068,0.8334494773519164,0.3403508771929824,0.8952380952380953,0.9532019704433498,0.3601532567049808,0.7367105263157895,0.3577376276512175,0.9399141630901288,0.191,0.8469565217391305,0.8793103448275864,0.01565362984111238,-0.3220858841730842
0.875,0.8749777223311352,0.8228228228228227,0.8773519163763066,0.2771929824561403,0.8952380952380953,0.9113300492610836,0.2030651340996168,0.8532017543859649,0.3577376276512175,0.8369098712446351,0.0835,0.8469565217391305,0.8793103448275864,-0.08808651494000137,-0.29240036989536233
0.875,0.8749777223311352,0.8468468468468467,0.864808362369338,0.2350877192982456,0.8984126984126984,0.9211822660098522,0.2337164750957854,0.8311622807017544,0.3577376276512175,0.8540772532188841,0.093,0.8469565217391305,0.8793103448275864,-0.07592126324228524,-0.3221630723663418
0.875,0.8749777223311352,0.8768768768768768,0.8480836236933799,0.2350877192982456,0.8952380952380953,0.916256157635468,0.2337164750957854,0.8266447368421053,0.3577376276512175,0.8583690987124464,0.099,0.8469565217391305,0.8793103448275864,-0.0751114133885252,-0.3249317104672494
0.875,0.8749777223311352,0.8948948948948948,0.8390243902439024,1.0,0.8571428571428571,0.8694581280788177,0.1915708812260536,0.8321491228070175,0.3577376276512175,0.9871244635193132,0.177,0.4886956521739131,0.8793103448275864,0.2685864853936846,0.3287998225837146
0.875,0.8749777223311352,0.8768768768768768,0.8480836236933799,0.2666666666666666,0.8698412698412699,0.9261083743842364,0.3333333333333333,0.7412280701754386,0.3577376276512175,0.9484978540772532,0.1445,0.9304347826086958,0.8793103448275864,-0.0119961801303791,-0.35508517559162217
0.875,0.8749777223311352,0.8048048048048047,0.8871080139372822,0.2842105263157894,0.834920634920635,0.8694581280788177,0.2337164750957854,0.8399122807017544,0.4462686567164179,0.9227467811158796,0.119,0.9304347826086958,0.8793103448275864,-0.04131891130474269,-0.3127970076736803
0.875,0.8749777223311352,0.9069069069069068,0.8334494773519164,0.2771929824561403,0.8857142857142857,0.9482758620689656,0.3601532567049808,0.7324561403508771,0.3577376276512175,0.9527896995708156,0.1595,0.9304347826086958,0.8793103448275864,0.0007846479207148036,-0.341162611328532
