name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,number_ofC__norm,molecular_weight__norm,Density__norm,molar_volume__norm,melting_point__norm,boiling_point__norm,Tc__norm,Pc__norm,Vc__norm,logP__norm,pf_eigenvalue__norm,fiedler_eigenvalue__norm,degree_entropy__norm,compression_ratio__norm
"2,2,3-trimethylbutane",CC(C)(C)C(C)C,7,100.2,0.69,145.2,-25.0,81,258.0,29.7,393.9,,2.18,0.398,0.796,4.08,-0.43894072221361674,-0.4391076907697892,-0.14775600732729102,-0.3799764848924111,2.0278488976497844,-0.3968773929617579,-0.18546248328189247,0.7635324921467072,-0.3162808986391689,-0.024049368191163517,0.5422729120597859,0.3406838489933121,-0.5362890390139895,-0.3997778871267275
octane,CCCCCCCC,8,114.23,0.699,163.4,-57.0,126,295.0,24.6,492.0,7.79,1.88,0.152,0.562,4.57,0.13622298275594974,0.13616168939240642,0.02325094531546458,0.2751194566546205,1.2313811135599464,0.42325595080211637,0.37231345574343666,-0.20392482709508322,1.0238783861137621,6.265144461453593,-0.44525283833662943,-0.5932494707689986,-1.6086259256594553,0.19359511074490732
"2,2-dimethylhexane",CC(C)(C)CCCC,8,114.23,0.696,164.2,-121.0,107,279.0,25.6,466.93,,2.11,0.202,0.974,4.57,0.13622298275594974,0.13616168939240642,-0.03375137223212062,0.3039148826566872,-0.36155445461972896,0.07697742787959169,0.1311130496784295,-0.014227313518261495,0.6813932355657911,-0.024049368191163517,0.3118502369672883,-0.4034256252888541,0.2794202166393988,0.19359511074490732
"2,3-dimethylhexane",CC(C)C(C)CCC,8,114.23,0.712,160.3,,116,293.0,26.6,460.99,,2.07,0.224,1.04,4.57,0.13622298275594974,0.13616168939240642,0.27026098802166715,0.16353718089660996,-0.16243750859726955,0.24100409663236655,0.3421634049853108,0.17547020005856023,0.6002459761220357,-0.024049368191163517,0.1801801369144329,-0.31990313327759057,0.5818742103086331,0.19359511074490732
"2,4-dimethylhexane",CC(C)CC(C)CC,8,114.23,0.699,163.4,,109,282.0,24.9,466.01,,2.04,0.214,1.04,4.57,0.13622298275594974,0.13616168939240642,0.02325094531546458,0.2751194566546205,-0.16243750859726955,0.11342779871354167,0.17633812581561834,-0.14701557302203724,0.6688249731603607,-0.024049368191163517,0.08142756187479211,-0.3578679023736195,0.5818742103086331,0.19359511074490732
"2,5-dimethylhexane",CC(C)CCC(C)C,8,114.23,0.694,164.6,-91.0,109,279.0,25.0,478.01,4.12,2.0,0.186,1.04,4.57,0.13622298275594974,0.13616168939240642,-0.0717529172638441,0.3183125956577211,0.38513409296449386,0.11342779871354167,0.1311130496784295,-0.1280458216643548,0.8327588306224929,0.9833729843835115,-0.050242538178063276,-0.46416925584250035,0.5818742103086331,0.19359511074490732
"3,3-dimethylhexane",CCC(C)(C)CCC,8,114.23,0.709,161.2,-126.0,112,278.0,22.9,450.02,,2.16,0.254,0.974,4.57,0.13622298275594974,0.13616168939240642,0.21325867047408192,0.19593203514893484,-0.4860025458837661,0.1681033549644666,0.11603802429936654,-0.5264106001756806,0.45038310809206944,-0.024049368191163517,0.47643786203335825,-0.20600882598950393,0.2794202166393988,0.19359511074490732
"3,4-dimethylhexane",CCC(C)C(C)CC,8,114.23,0.72,158.7,,117,298.0,27.5,451.96,,2.1,0.251,1.04,4.57,0.13622298275594974,0.13616168939240642,0.422267168148561,0.10594632889247454,-0.16243750859726955,0.25922928204934154,0.41753853188062556,0.3461979622776995,0.47688574838178077,-0.024049368191163517,0.27893271195407515,-0.2173982567183126,0.5818742103086331,0.19359511074490732
3-ethylhexane,CCC(CC)CCC,8,114.23,0.712,160.4,,118,294.0,26.2,466.01,,2.03,0.243,0.974,4.57,0.13622298275594974,0.13616168939240642,0.27026098802166715,0.16713660914686818,-0.16243750859726955,0.2774544674663165,0.35723843036437375,0.09959119462783113,0.6688249731603607,-0.024049368191163517,0.04851003686157753,-0.24777007199513573,0.2794202166393988,0.19359511074490732
3-ethyl-2-methylpentane,CC(C)C(CC)CC,8,114.23,0.718,159.1,-115.0,116,295.0,27.5,450.02,,2.1,0.306,1.04,4.57,0.13622298275594974,0.13616168939240642,0.38426562311683754,0.12034404189350839,-0.2122167451028844,0.24100409663236655,0.37231345574343666,0.3461979622776995,0.45038310809206944,-0.024049368191163517,0.27893271195407515,-0.008592026690153748,0.5818742103086331,0.19359511074490732
