name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,number_ofC__norm,molecular_weight__norm,Density__norm,molar_volume__norm,melting_point__norm,boiling_point__norm,Tc__norm,Pc__norm,Vc__norm,logP__norm,pf_eigenvalue__norm,fiedler_eigenvalue__norm,degree_entropy__norm,compression_ratio__norm
3-ethyl-4-methylhexane,CCC(CC)C(C)CC,9,128.26,0.742,172.9,,140,312.0,22.4,,,2.14,0.231,1.06,5.06,0.7113866877255163,0.7114310695546014,0.8402841634975192,0.6170651404291697,-0.16243750859726955,0.6784085466397661,0.6285888871875068,-0.6212593569640915,0.23112157373646824,-0.024049368191163517,0.41060281200693055,-0.2933277949103703,0.6735269356629465,0.7869681086165411
4-ethyl-2-methylhexane,CC(C)CC(CC)CC,9,128.26,,,,134,300.0,21.2,,,2.08,0.195,1.06,5.06,0.7113866877255163,0.7114310695546014,0.3082625330533906,0.2751194566546205,-0.16243750859726955,0.5690574341379162,0.44768858263875144,-0.8488963732562774,0.23112157373646824,-0.024049368191163517,0.21309766192764748,-0.4300009636560743,0.6735269356629465,0.7869681086165411
2-methyloctane,CC(C)CCCCCC,9,128.26,0.712,180.1,-80.0,143,311.0,21.8,478.46,,1.96,0.129,0.937,5.06,0.7113866877255163,0.7114310695546014,0.27026098802166715,0.8762239744477749,0.6589198937453756,0.7330841028906911,0.6135138618084439,-0.7350778651101841,0.8389063502773227,-0.024049368191163517,-0.18191263823091866,-0.680568439689865,0.10986267473391954,0.7869681086165411
3-methyloctane,CCC(C)CCCCC,9,128.26,0.721,177.9,-108.0,144,314.0,22.2,478.46,,2.0,0.14,0.937,5.06,0.7113866877255163,0.7114310695546014,0.44126794066442276,0.7970365529420903,-0.03798941733323241,0.7513092883076661,0.6587389379456328,-0.6591988596794557,0.8389063502773227,-0.024049368191163517,-0.050242538178063276,-0.6388071936842332,0.10986267473391954,0.7869681086165411
4-methyloctane,CCCC(C)CCCC,9,128.26,0.722,177.6,-113.0,142,311.0,22.1,478.46,,2.02,0.151,0.937,5.06,0.7113866877255163,0.7114310695546014,0.46026871318028445,0.7862382681913146,-0.16243750859726955,0.7148589174737161,0.6135138618084439,-0.6781686110371375,0.8389063502773227,-0.024049368191163517,0.015592511848364415,-0.5970459476786015,0.10986267473391954,0.7869681086165411
"2,2,3,3-tetramethylpentane",CC(C)(C)C(C)(C)CC,9,128.26,0.757,169.5,-10.0,140,316.0,22.0,,,2.33,0.282,0.849,5.06,0.7113866877255163,0.7114310695546014,1.1252957512354451,0.49468457992038345,2.4011931714418955,0.6784085466397661,0.6888889887037586,-0.69713836239482,0.23112157373646824,-0.024049368191163517,1.0360357872579928,-0.09970747252062316,-0.29340931682505944,0.7869681086165411
"2,2,3,4-tetramethylpentane",CC(C)(C)C(C)C(C)C,9,128.26,0.739,173.6,-121.0,133,302.0,21.1,,,2.26,0.238,0.849,5.06,0.7113866877255163,0.7114310695546014,0.783281845949934,0.6422611381809782,-0.36155445461972896,0.5508322487209413,0.4778386333968773,-0.8678661246139592,0.23112157373646824,-0.024049368191163517,0.8056131121654952,-0.2667524565431502,-0.29340931682505944,0.7869681086165411
"2,2,4,4-tetramethylpentane",CC(C)(C)CC(C)(C)C,9,128.26,0.719,178.5,-67.0,122,283.0,19.5,,,2.24,0.209,0.849,5.06,0.7113866877255163,0.7114310695546014,0.4032663956326993,0.8186331224436405,0.9824849310318722,0.35035520913421647,0.19141315119468127,-1.1713821463368743,0.23112157373646824,-0.024049368191163517,0.739778062139069,-0.37685028692163397,-0.29340931682505944,0.7869681086165411
"2,3,3,4-tetramethylpentane",CC(C)C(C)(C)C(C)C,9,128.26,0.755,169.9,-102.0,142,317.0,21.8,,,2.29,0.268,0.849,5.06,0.7113866877255163,0.7114310695546014,1.0872942062037216,0.5090822929214173,0.11134829218361217,0.7148589174737161,0.7039640140828216,-0.7350778651101841,0.23112157373646824,-0.024049368191163517,0.9043656872051375,-0.15285814925506344,-0.29340931682505944,0.7869681086165411
"2,2,3-trimethylhexane",CC(C)(C)C(C)CCC,9,128.26,,,,134,301.0,21.1,,,2.22,0.202,1.15,5.06,0.7113866877255163,0.7114310695546014,0.3082625330533906,0.2751194566546205,-0.16243750859726955,0.5690574341379162,0.4627636080178144,-0.8678661246139592,0.23112157373646824,-0.024049368191163517,0.6739430121126413,-0.4034256252888541,1.0859641997573557,0.7869681086165411
"2,2,4-trimethylhexane",CC(C)(C)CC(C)CC,9,128.26,0.716,179.1,-120.0,127,289.0,20.4,,,2.17,0.188,1.15,5.06,0.7113866877255163,0.7114310695546014,0.34626407808511406,0.8402296919451908,-0.33666483636692157,0.44148113621909135,0.28186330346905897,-1.0006543841177349,0.23112157373646824,-0.024049368191163517,0.5093553870465714,-0.4565763020232946,1.0859641997573557,0.7869681086165411
"2,2,5-trimethylhexane",CC(C)(C)CCC(C)C,9,128.26,0.708,181.3,-106.0,124,282.0,19.8,,,2.14,0.165,1.15,5.06,0.7113866877255163,0.7114310695546014,0.19425789795822018,0.9194171134508765,0.011789819172382447,0.3868055799681664,0.17633812581561834,-1.1144728922638276,0.23112157373646824,-0.024049368191163517,0.41060281200693055,-0.543895270944161,1.0859641997573557,0.7869681086165411
"2,3,3-trimethylhexane",CC(C)C(C)(C)CCC,9,128.26,0.738,173.8,-117.0,138,308.0,21.1,,,2.24,0.223,1.15,5.06,0.7113866877255163,0.7114310695546014,0.7642810734340723,0.6494599946814956,-0.2619959816084993,0.6419581758058162,0.5682887856712551,-0.8678661246139592,0.23112157373646824,-0.024049368191163517,0.739778062139069,-0.32369961018719345,1.0859641997573557,0.7869681086165411
"2,3,4-trimethylhexane",CC(C)C(C)C(C)CC,9,128.26,0.739,173.5,,139,311.0,22.0,,,2.16,0.212,0.937,5.06,0.7113866877255163,0.7114310695546014,0.783281845949934,0.6386617099307199,-0.16243750859726955,0.6601833612227912,0.6135138618084439,-0.69713836239482,0.23112157373646824,-0.024049368191163517,0.47643786203335825,-0.3654608561928253,0.10986267473391954,0.7869681086165411
"2,3,5-trimethylhexane",CC(C)C(C)CC(C)C,9,128.26,0.717,178.9,-128.0,131,295.0,20.8,,,2.12,0.183,0.937,5.06,0.7113866877255163,0.7114310695546014,0.3652648506009758,0.8330308354446744,-0.535781782389381,0.5143818778869913,0.37231345574343666,-0.9247753786870059,0.23112157373646824,-0.024049368191163517,0.34476776198050285,-0.47555868657130906,0.10986267473391954,0.7869681086165411
"2,4,4-trimethylhexane",CC(C)CC(C)(C)CC,9,128.26,0.724,177.2,-113.0,131,295.0,20.6,,,2.19,0.204,1.15,5.06,0.7113866877255163,0.7114310695546014,0.49827025821200793,0.7718405551902808,-0.16243750859726955,0.5143818778869913,0.37231345574343666,-0.96271488140237,0.23112157373646824,-0.024049368191163517,0.575190437072999,-0.3958326714696484,1.0859641997573557,0.7869681086165411
"3,3,4-trimethylhexane",CCC(C)(C)C(C)CC,9,128.26,0.745,172.1,-101.0,140,312.0,21.4,,,2.25,0.243,1.15,5.06,0.7113866877255163,0.7114310695546014,0.8972864810451043,0.588269714427102,0.13623791043641958,0.6784085466397661,0.6285888871875068,-0.8109568705409133,0.23112157373646824,-0.024049368191163517,0.7726955871522821,-0.24777007199513573,1.0859641997573557,0.7869681086165411
